10,5,2,6,3,7,4
11,4,1,6,9,2,
12,1,6,,,,
13,3,4,10,2,,
14,3,6,4,3,,
15,4,1,8,9,1,
16,5,4,5,3,6,8
17,3,8,10,8,,
18,5,1,9,1,6,9
19,3,2,2,1,,
20,1,4,,,,
21,1,4,,,,
22,2,7,2,,,
23,5,6,7,5,4,6
24,3,10,3,9,,
25,5,1,3,6,9,7
26,3,9,5,7,,
27,5,3,10,8,8,2
28,5,2,3,2,6,8
29,1,5,,,,
30,2,3,3,,,
31,3,5,3,5,,
32,4,9,1,6,9,
33,5,2,1,5,1,1
34,3,1,1,4,,
35,5,2,10,1,7,7
36,3,4,7,6,,
37,3,4,1,10,,
38,5,9,4,3,5,2
39,3,7,10,1,,
40,2,7,5,,,
41,4,9,2,6,3,
42,1,5,,,,
43,3,8,1,2,,
44,3,4,2,3,,
45,2,9,9,,,
46,1,6,,,,
47,1,5,,,,
48,1,8,,,,
49,5,10,1,9,1,10
50,2,1,10,,,
51,3,9,3,6,,
52,1,6,,,,
53,5,8,6,9,2,3
54,5,2,7,10,2,1
55,3,7,5,3,,
56,4,7,3,9,7,
57,4,10,9,10,9,
58,1,9,,,,
59,5,10,9,5,9,1
60,2,3,4,,,
61,5,4,2,8,5,3
62,5,4,3,2,6,9
63,5,7,2,3,7,5
64,1,8,,,,
65,5,5,4,4,3,3
66,3,7,3,2,,
67,2,2,8,,,
68,4,9,4,3,9,
69,1,2,,,,
70,4,3,5,5,7,
71,5,2,3,7,6,6
72,2,9,4,,,
73,3,7,8,4,,
74,2,10,5,,,
75,3,3,2,7,,
76,1,1,,,,
77,1,8,,,,
78,5,7,10,5,1,1
79,2,1,10,,,
80,2,1,7,,,
81,1,4,,,,
82,2,6,2,,,
83,4,2,8,4,4,
84,5,3,8,2,1,3
85,2,1,6,,,
86,2,9,6,,,
87,4,6,2,5,5,
88,5,8,5,4,2,10
89,1,1,,,,
90,4,2,4,6,4,
91,4,7,6,7,5,
92,5,4,4,9,2,8
93,5,3,1,9,2,2
94,5,6,4,8,2,5
95,3,1,6,9,,
96,3,4,10,1,,
97,3,6,8,1,,
98,1,6,,,,
99,5,4,5,2,7,4
100,2,5,4,,,
101,4,4,8,9,6,
102,2,9,1,,,
103,3,6,6,9,,
104,1,1,,,,
105,5,9,6,4,3,10
106,5,7,8,6,9,6
107,1,7,,,,
108,1,6,,,,
109,4,3,3,9,1,
110,5,7,7,6,6,4
111,5,5,5,8,4,7
112,1,10,,,,
113,3,6,2,5,,
114,5,1,1,5,1,6
115,4,10,4,8,4,
116,2,4,1,,,
117,1,7,,,,
118,4,6,1,9,1,
119,1,1,,,,
120,1,5,,,,
121,1,2,,,,
122,4,5,10,4,10,
123,3,6,6,7,,
124,5,3,1,6,10,5
125,2,4,10,,,
126,3,10,3,1,,
127,2,5,1,,,
128,1,4,,,,
129,1,4,,,,
130,1,2,,,,
131,5,1,6,5,10,3
132,2,9,2,,,
133,3,3,3,10,,
134,2,1,7,,,
135,2,3,1,,,
136,1,5,,,,
137,3,5,1,6,,
138,5,2,2,5,7,2
139,2,4,4,,,
140,2,4,10,,,
141,3,10,7,6,,
142,2,9,2,,,
143,5,10,6,7,7,6
144,2,3,8,,,
145,1,7,,,,
146,1,3,,,,
147,1,8,,,,
148,1,8,,,,
149,1,7,,,,
150,5,5,6,6,2,8
151,4,10,10,6,2,
152,4,6,6,10,3,
153,2,8,2,,,
154,1,4,,,,
155,2,8,5,,,
156,2,8,3,,,
157,2,7,6,,,
158,2,6,7,,,
159,3,6,9,3,,
160,5,3,5,2,6,1
161,3,6,3,1,,
162,5,6,2,2,7,5
163,2,7,10,,,
164,2,1,5,,,
165,3,9,8,6,,
166,1,9,,,,
167,2,2,10,,,
168,2,8,6,,,
169,2,1,7,,,
170,3,10,10,3,,
171,5,2,4,9,1,3
172,5,6,10,6,10,5
173,4,4,10,7,2,
174,1,4,,,,
175,5,1,8,5,6,2
176,4,5,6,4,8,
177,2,5,3,,,
178,4,9,8,6,7,
179,1,3,,,,
180,5,4,9,7,7,4
181,5,2,7,10,4,1
182,5,7,5,4,5,2
183,2,5,10,,,
184,3,9,3,10,,
185,2,8,7,,,
186,5,3,1,5,8,5
187,2,6,5,,,
188,3,6,4,7,,
189,4,2,9,1,7,
190,4,7,8,10,5,
191,5,10,4,2,9,6
192,5,8,7,2,7,6
193,5,4,4,8,6,6
194,5,8,6,9,2,6
195,2,1,3,,,
196,3,1,4,3,,
197,3,8,8,7,,
198,2,2,7,,,
199,1,4,,,,
200,2,5,5,,,
201,2,2,10,,,
202,4,9,1,1,5,
203,2,5,10,,,
204,1,9,,,,
205,4,1,2,2,7,
206,2,7,4,,,
207,3,8,5,3,,
208,4,8,2,8,7,
209,5,10,9,1,7,2
210,5,5,4,5,5,9
211,3,6,8,5,,
212,3,5,3,4,,
213,3,9,9,9,,
214,2,7,10,,,
215,3,1,7,10,,
216,5,1,1,1,4,1
217,1,9,,,,
218,3,7,5,2,,
219,5,7,4,3,8,1
220,5,2,4,1,6,2
221,1,6,,,,
222,4,1,2,3,3,
223,5,6,7,1,7,8
224,1,5,,,,
225,5,10,1,9,7,1
226,4,5,3,2,5,
227,3,2,9,6,,
228,4,9,7,2,3,
229,3,2,2,1,,
230,2,6,8,,,
231,1,10,,,,
232,4,5,10,6,6,
233,3,5,1,2,,
234,4,5,2,7,9,
235,3,8,1,1,,
236,4,2,5,5,6,
237,2,4,5,,,
238,1,9,,,,
239,2,8,10,,,
240,2,7,2,,,
241,2,4,3,,,
242,2,5,6,,,
243,1,7,,,,
244,5,6,10,7,7,4
245,1,9,,,,
246,2,1,4,,,
247,1,8,,,,
248,3,9,8,8,,
249,1,10,,,,
250,1,10,,,,
251,2,3,2,,,
252,5,4,8,2,4,4
253,2,3,4,,,
254,4,10,9,4,8,
255,1,9,,,,
256,1,8,,,,
257,5,3,5,1,4,9
258,5,8,8,8,6,1
259,4,6,6,10,5,
260,2,8,3,,,
261,2,5,3,,,
262,4,5,4,7,2,
263,2,8,2,,,
264,3,3,10,6,,
265,1,2,,,,
266,5,9,6,3,7,8
267,4,5,9,3,5,
268,2,4,4,,,
269,5,3,5,4,8,1
270,4,7,6,1,7,
271,3,1,7,5,,
272,1,6,,,,
273,2,6,7,,,
274,4,7,6,4,8,
275,3,10,7,2,,
276,3,3,6,2,,
277,1,1,,,,
278,5,8,5,5,6,3
279,4,5,6,1,9,
280,5,7,7,7,7,4
281,4,5,5,6,10,
282,1,9,,,,
283,3,5,3,2,,
284,4,9,8,1,6,
285,3,3,6,7,,
286,3,10,3,5,,
287,1,6,,,,
288,4,5,2,9,2,
289,5,2,6,3,3,7
290,5,9,5,2,10,10
291,3,3,10,7,,
292,5,6,3,10,7,6
293,1,2,,,,
294,1,9,,,,
295,4,10,8,2,5,
296,2,6,9,,,
297,3,4,5,4,,
298,1,4,,,,
299,5,5,7,4,1,4
300,4,7,4,5,3,
301,4,3,5,6,5,
302,2,8,3,,,
303,2,4,10,,,
304,4,4,4,10,9,
305,2,6,7,,,
306,2,2,2,,,
307,2,10,5,,,
308,5,6,1,3,3,9
309,3,7,10,8,,
310,3,5,4,10,,
311,2,10,9,,,
312,5,2,7,1,4,4
313,1,1,,,,
314,5,1,6,1,6,7
315,5,6,8,8,4,5
316,3,6,6,3,,
317,2,5,5,,,
318,1,7,,,,
319,5,10,7,10,8,2
320,4,1,10,8,10,
321,1,7,,,,
322,2,4,9,,,
323,4,9,4,10,8,
324,4,5,8,4,2,
325,3,10,2,4,,
326,5,2,2,10,1,4
327,2,4,6,,,
328,1,7,,,,
329,2,1,2,,,
330,5,6,10,8,7,3
331,2,10,5,,,
332,1,6,,,,
333,2,8,4,,,
334,1,7,,,,
335,5,10,5,2,9,8
336,4,9,1,6,7,
337,2,9,6,,,
338,5,5,8,7,1,7
339,2,5,1,,,
340,3,1,8,10,,
341,4,6,4,7,2,
342,4,9,8,4,9,
343,3,3,5,9,,
344,5,3,5,7,6,7
345,3,9,10,5,,
346,5,5,3,10,5,8
347,1,5,,,,
348,2,2,1,,,
349,1,9,,,,
350,5,2,4,6,8,1
351,4,1,10,9,5,
352,1,6,,,,
353,5,6,2,10,10,3
354,5,4,3,4,3,10
355,2,5,7,,,
356,3,7,1,4,,
357,4,3,8,7,6,
358,4,1,9,5,5,
359,2,4,1,,,
360,4,8,7,9,9,
361,1,10,,,,
362,5,1,9,4,4,9
363,2,10,1,,,
364,1,7,,,,
365,3,7,9,5,,
366,4,1,10,3,2,
367,1,8,,,,
368,2,5,7,,,
369,1,10,,,,
370,4,4,2,1,5,
371,2,9,1,,,
372,5,4,9,2,2,8
373,3,6,2,5,,
374,4,8,9,5,6,
375,5,10,7,7,9,5
376,2,10,2,,,
377,3,6,1,3,,
378,4,6,7,6,6,
379,1,7,,,,
380,5,10,4,1,7,1
381,5,4,8,8,5,3
382,1,5,,,,
383,2,3,10,,,
384,4,4,9,3,7,
385,5,2,4,2,8,4
386,4,10,7,7,8,
387,2,5,6,,,
388,1,3,,,,
389,5,4,5,9,6,6
390,3,1,3,1,,
391,3,1,2,1,,
392,2,2,8,,,
393,4,9,6,5,2,
394,4,4,7,9,9,
395,3,6,2,10,,
396,3,5,8,8,,
397,5,8,8,9,5,3
398,4,5,8,10,1,
399,5,4,6,5,3,9
400,2,3,7,,,
401,5,3,4,2,3,6
402,5,5,10,8,10,8
403,2,4,8,,,
404,2,9,10,,,
405,5,6,6,2,7,3
406,4,2,2,3,7,
